actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Zhang Ruo Yun,Sun Yi,China,"Mar 16, 2016 - Apr 21, 2016",24,"Friendship,  Romance,  Life,  Melodrama,  Mature",Hunan TV,7.7,9,"Star Crossed Lovers, High School To College, High School To Working Life, Tearjerker, High School, Hate To Love, Friends To Lovers, Love Triangle",Fifteen Years to Wait for Migratory Birds,924,3100
Park Hae Jin,Li Fei Er,China,"Mar  1, 2016 - Mar 18, 2016",36,"Friendship,  Romance,  Drama,  Family",,7.7,7,"Car Accident, Mother-Son Relationship, Male Chases Female First, Rich Man/Poor Woman, Heir, Single Parent, Sisterhood, Marriage Of Convenience, Step Family, Fashion",Far Away Love,1093,2812
Song Il Gook,Park Jin Hee,South Korea,"Dec  7, 2011 - Feb 23, 2012",24,"Food,  Mystery,  Romance,  Drama,  Family",jTBC,7.7,5,,Fermentation Family,725,1824
Kusanagi Tsuyoshi,Miyama Karen,Japan,"Jan  6, 2004 - Mar 23, 2004",12,"Life,  Drama,  Family",Fuji TV,8.1,0,"SMAP, Idol Actor",Boku to Kanojo to Kanojo no Ikiru Michi,60,156
Qin Jun Jie,Xue Hao Wen,China,"Aug 21, 2019 - Sep 18, 2019",42,"Action,  Suspense,  Thriller,  Crime,  Investigation","iQiyi, iQiyi",8.4,3,"Undercover Agent, Frenemy, Cops Vs Criminals, Drug Usage, Badass Male Lead, Bromance, Gun Violence, Gun Fight, Strong Male Lead, Police Officer",Never Say Never,42,318
Maja Salvador,Joseph Marco,Philippines,"Feb 13, 2017 - Feb  9, 2018",257,"Action,  Suspense,  Thriller,  Romance,  Drama,  Political",ABS-CBN,8.7,0,"Revenge, Childhood Friends",Wildflower,29,78
Mike Angelo,Margie Rasri Balenciaga,Thailand,"Nov 16, 2012 - Dec  8, 2012",11,"Mystery,  Horror,  Romance,  Supernatural",Channel 3,7.8,4,"Ghost-seeing Female Lead, Rape, Adapted From A Novel, Ghost",Raak Boon,214,657
Cherreen Nachjaree Horvejkul,Kang Korn Sirisorn,Thailand,"Mar 18, 2017 - May  6, 2017",8,"Animals,  Comedy,  Romance,  School,  Youth",GMM One,7.7,19,"Gay Character, Love Triangle, Love Square, College Life, Gay Relationship, LGBTQ+, Bisexual Character",Senior Secret Love: Puppy Honey 2,3479,6001
Godfrey Gao,Lulu Xuan,China,"Oct 16, 2019 - Nov 20, 2019",40,"Romance,  Drama",,8.3,0,"Disapproving Parent, Nature, Office Worker, City, Rain, Love Triangle",The Gravity of a Rainbow,47,472
Sonia Sui,James Wen,Taiwan,"Nov  5, 2010 - Apr 15, 2011",23,"Romance,  Family,  Melodrama",TTV,7.7,5,"Older Man/Younger Woman, Infidelity, Older Woman Younger Man, Life Lesson, Cold Man/Warm Woman",The Fierce Wife,573,1291
Jin Goo,Seo Eun Soo,South Korea,"Feb  8, 2019 - Mar 30, 2019",16,"Friendship,  Mystery,  Business,  Comedy,  Law,  Life,  Drama","jTBC, Viki",7.7,8,"Satire, Slight Romance, Eccentric Male Lead, Boss/Employee Relationship, Minimal Romance, Male Chases Female First, Eccentric Female Lead, Strong Female Lead, Obsession, Arrogant Male Lead",Legal High,800,2501
Pancake Khemanit Jamikorn,Andrew Gregson,Thailand,"Nov  4, 2019 - Dec 24, 2019",16,"Thriller,  Mystery,  Psychological,  Detective,  Investigation",True4U,8.1,2,,Voice,63,248
James Prapatthorn Chakkhuchan,Oat Chakrit Boonsing,Thailand,"Oct 11, 2019 - Oct 25, 2019",3,"Psychological,  Drama,  Tragedy","LINE TV, LINE TV, LINE TV",7.7,31,"Rape, Cyber Bullying, Mental Health, Depression, Self-harm, Gay Character, Adapted From A Novel, Abuse, University, LGBTQ+",The Effect,2063,4714
Mandy Wong,Kar Lok Chin,Hong Kong,"Aug 10, 2015 - Aug 29, 2015",21,"Action,  Thriller,  Crime,  Drama",TVB Jade ,7.9,1,"Betrayal, Dementia, Hidden Identity",The Fixer,135,326
Jia Zheng Yu,Vicky Yu,China,"Nov 24, 2018 - Jan  6, 2019",46,"Romance,  School,  Youth","Tencent Video, Mango TV, Mango TV",7.7,5,"Enemies To Friends, Rich Female Lead, Strong Friendship, Rich Characters, Second Chance, Multiple Couples, College Life, Amnesia, Rich Male Lead, Adapted From A Novel",The Demon Master,743,2390
Ishigaki Yuma,Tokuyama Hidenori,Japan,"Apr  2, 2005 - Jun 25, 2005",13,"Action,  Drama,  Martial Arts,  Sports",TV Tokyo,7.8,4,"Street Fight, Boxing, Adapted From A Manga, Lonliness, School Bullying",Holyland,364,947
Hirosue Ryoko,Mikami Hiroshi,Japan,"Apr 12, 1999 - Jun 28, 1999",12,"Friendship,  Romance,  Drama",Fuji TV,7.9,3,"Healing, Self-harm, Prison",Lipstick,101,340
Kimberley Anne Woltemas,Athichart Chumnanon,Thailand,"Oct 16, 2010 - Nov  5, 2010",9,"Comedy,  Romance,  Drama,  Family",Channel 3,7.7,2,"Protective Brother, Brotherhood, Doctor, Prince, Bromance",Thara Himalai,438,868
Guo Shu Yao,Akio Chen,Taiwan,"Apr  2, 2017 - May  7, 2017",6,"Comedy,  Romance,  Drama,  Supernatural",PTS,8.2,1,"Height Difference, Miniseries, Ghost-seeing Female Lead, Death, Nice Male Lead, School",The Teenage Psychic,66,378
Takeda Rina,Nozoe Yoshihiro,Japan,"Jan  8, 2016 - Mar 25, 2016",12,"Food,  Life","TV Tokyo, BS Japan",8.1,0,Adapted From A Manga,Wakako Zake Season 2,89,231
Kim Hae Sook,Kim So Yeon,South Korea,"Mar 23, 2019 - Sep 22, 2019",108,"Friendship,  Business,  Romance,  Life,  Family,  Melodrama",KBS2,7.7,1,"Family Relationship, Mother-Daughter Relationship, Married Couple, Huge Family, Sibling, Office Romance, Rich Male Lead, Marriage, Competent Protagonist, Evil Mother-in-law",Mother of Mine,481,1497
Kitamura Kazuki,Mizusawa Shingo,Japan,"Oct  1, 2013 - Dec 17, 2013",12,"Animals,  Historical,  Comedy",TV Tokyo,7.8,3,Cat,Neko Zamurai,227,812
Lee Joon Gi,Nam Sang Mi,South Korea,"Jun 25, 2014 - Sep  4, 2014",22,"Suspense,  Historical,  Romance,  Drama,  Melodrama",KBS2,7.7,13,"Strong Male Lead, Joseon Dynasty, Gun Fight, Smart Female Lead, Power Struggle, Revenge, Hidden Identity",Gunman In Joseon,2779,7626
Matsumoto Rio,Adachi Yumi,Japan,"Jul  7, 1997 - Sep 15, 1997",11,Drama,TV Asahi,7.8,2,"Actor, Entertainment Industry, Secret Crush, Adapted From A Manga, Mentor, Older Man/Younger Woman, Hidden Identity, Adult/Minor Relationship, Age Gap",Glass Mask,293,944
Takei Emi,Eguchi Noriko,Japan,"Jul 20, 2017 - Sep 14, 2017",8,"Suspense,  Drama",TV Asahi,7.8,1,Adapted From A Novel,Kurokawa no Techo,177,546
Annie Chen,Chris Wang,Taiwan,"Dec 13, 2011 - Apr  2, 2012",84,"Comedy,  Romance,  Family",SET TV,7.7,10,"Marriage Of Convenience, Multiple Couples, Arranged Marriage, Sibling, Rich Man/Poor Woman, Rich Male Lead",Inborn Pair,1052,2522
Lu Han,Gülnezer Bextiyar,China,"Apr 17, 2017 - Jun  1, 2017",52,"Friendship,  Historical,  Romance,  Wuxia,  Drama,  Fantasy",Hunan TV,7.7,14,"Destiny, Xianxia, Fate, Second Lead Syndrome, Sickness, Childhood Friends, Idol Actor",Fighter of the  Destiny,1590,5320
Seo Ji Suk,Jang Seo Hee,South Korea,"Feb  3, 2010 - Mar 25, 2010",16,"Romance,  Medical",SBS,7.7,5,"Obstetrics And Gynecology, Doctor",Obstetrics and Gynecology Doctors,986,2380
Eden Zhao,Zhang Rui Han,China,"Oct 17, 2017",16,Sports,Tencent Video,8.2,1,"Adapted From A Manhua, Swimming",Take Your Mark,55,325
Du Chun,Dai Xu,China,"Jul 24, 2019 - Aug  9, 2019",24,"Suspense,  Thriller,  Sci-Fi","iQiyi, iQiyi",8.4,1,"Zombies, Slight Romance, Survival, Artificial Intelligence, Web Series, Mystery, Crime Solving Duo, Strong Male Lead, Muteness, Multiple Mains",Last One Standing,38,274
Om Akkaphan Namart,Sammy Cowell,Thailand,"Aug 19, 2017 - Sep  9, 2017",10,"Action,  Romance,  Drama",Channel 7,7.8,2,"Novelist, Navy Officer",Paragit Ruk Series: Ratchanawee Tee Ruk,173,515
Horii Arata,Yamada Yuki,Japan,"Apr 19, 2017 - Jun 21, 2017",10,"Friendship,  Comedy,  Family",TBS,7.8,1,,3 Papas,208,899
Ma Ke,Joe Xu,China,"Mar 24, 2016 - May 12, 2016",16,"Mystery,  Romance,  Life,  Drama",Tencent Video,7.8,3,"Bromance, Friendship, Adapted From A Novel",Revive,363,1195
Aibu Saki,Nagase Tomoya,Japan,"Oct 12, 2007 - Dec 21, 2007",11,"Historical,  Comedy,  Romance",TBS,7.8,3,"Tokio, Kanjani 8, Showa Era",Utahime,235,636
Han Seok Kyu,Lee Je Hoon,South Korea,"Sep 22, 2014 - Dec  9, 2014",24,"Historical,  Drama,  Political",SBS,7.7,3,"Prince Sado, Joseon Dynasty",Secret Door,605,2799
Mario Maurer,Natapohn Tameeruks,Thailand,"Jul 16, 2014 - Aug 20, 2014",11,"Action,  Romance,  Drama",Channel 3,7.8,1,"Power Struggle, Male Chases Female First, Obsessive Second Lead, Love Triangle, Brotherhood, Secondary Couple, Lovers From Different Countries, Arranged Relationship, Fight, Love At First Sight",Roy Ruk Hak Liam Tawan,389,1038
Ben Wu,Ivy Shao,Taiwan,"Jul 21, 2018 - Nov 10, 2018",17,"Comedy,  Romance,  Youth","CTV, LINE TV, LINE TV, LINE TV, CTV",7.8,6,"Friends To Lovers, Childhood Friends, Second Chance Romance, Orphan Male Lead, Orphanage, Social Problems",Love & π,404,1578
Ohno Satoshi,Suda Masaki,Japan,"Apr 18, 2014 - Jun 20, 2014",9,"Drama,  Fantasy",TV Asahi,7.7,4,"Nikkan Daily Sports Drama GP, Arashi, Adapted From A Manga, Grim Reaper, Idol Actor",Shinigami-kun,839,2200
Kenneth Ma,Mandy Wong,Hong Kong,"Oct 30, 2017 - Nov 27, 2017",21,"Horror,  Comedy,  Romance,  Supernatural,  Investigation",TVB Jade ,7.9,3,"Open-minded, Passengers, Taxi Driver, Incident, Optimistic Male Lead, Car Accident, Supernatural Power, Secret Crush, Spirit, Demon",The Exorcist's Meter,144,340
