actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Fu Xin Bo,Ma Ke,China,"Feb 20, 2017",12,"Adventure,  Romance,  Drama,  Fantasy","iQiyi, iQiyi",8.0,2,"Time Travelers, Past Lives, Airhead Female Lead, Fate, Reincarnation, Adapted From A Webtoon, Love Triangle, Time Travel, Tragedy, Vampire",The Journey 2,456,1176
Choi Bo Min,Lee Jang Joon,South Korea,"Oct 16, 2019 - Nov  9, 2019",8,"Friendship,  Comedy,  Youth",Naver TV Cast,8.2,0,"University, Roommates, Golden Child, Web Series, Idol Actor, Friendship",Crash! Insignificant Roommates,104,320
Shin Se Kyung,Seo Shin Ae,South Korea,"Sep  7, 2009 - Mar 19, 2010",126,"Comedy,  Romance,  Family,  Sitcom",MBC,7.9,6,"Multiple Mains, Older Woman/Younger Man, Poor Characters, Multiple Couples, Unrequited Love, Bromance, School",High Kick Through the Roof!,1249,3361
Jung Ryeo Won,Jung Kyung Ho,South Korea,"Mar 10, 2009 - Jul 21, 2009",39,"Action,  Historical,  Romance,  Tragedy",SBS,7.9,11,"Royalty, Princess, Love Triangle, Forbidden Love, Spy, Child Abandonment, Based On A Legend, Heir, Betrayal, Sibling Rivalry",Ja Myung Go,1261,3879
Suga Takamasa,Matsuda Satoshi ,Japan,"Feb  3, 2002 - Jan 19, 2003",50,Tokusatsu,TV Asahi,8.0,1,,Kamen Rider Ryuki,506,1029
Nishimura Kazuhiko,Mori Megumi,Japan,"Feb 27, 1988 - Feb 18, 1989",49,Tokusatsu,TV Asahi,8.2,0,"Superhero, Friendship, Robot",Choujuu Sentai Liveman,109,289
Ono Machiko,Yasuda Ken,Japan,"Mar 24, 2019 - Apr 14, 2019",4,"Suspense,  Mystery,  Crime,  Drama,  Investigation",WOWOW,8.3,1,"Hamanaka Aki, Adapted From A Novel, Insurance Employee, Death",Zekkyou,84,265
Konno Mahiru,Inoue Mao,Japan,"Apr 16, 2004 - Jun 25, 2004",11,"Life,  Drama,  Family",TBS,8.2,3,"Kinki Kids, Multiple Mains, Idol Actor",Home Drama,104,384
Rainie Yang,Yan Yu Lin,Taiwan,"Oct  7, 2016 - Nov 11, 2016",6,"Romance,  Life,  Drama",GTV,8.0,7,"Regrets, Architect, Choices, Successful Female Lead, Hardworking Male Lead, Hardworking Female Lead, Long Distance Relationship, Family Relationship, Poor Female Lead, Poor Male Lead",Q Series: Life Plan A and B,272,810
Min Peechaya Wattanamontree,Weir Sukollawat Kanarot,Thailand,"Jul 24, 2014 - Sep 30, 2014",20,"Action,  Comedy,  Romance,  Drama",Channel 7,7.9,6,"Forbidden Love, Real Kisses, Sassy Female Lead, Power Struggle, Bodyguard, Makjang, Rebellion, Prince, Arranged Marriage, Attempted Murder",Lah Ruk Sut Kob Fah,381,1037
Kamenashi Kazuya,Yamashita Tomohisa,Japan,"Oct 15, 2005 - Dec 17, 2005",10,"Friendship,  Comedy,  School,  Drama,  Melodrama",NTV,7.8,30,"Bromance, High School, Unusual Friendship, School Bullying, Hey! Say! Jump, Shy Female Lead, Best Friends, KAT-TUN, Eccentric Male Lead, Odd Characters",Nobuta Wo Produce,11692,19354
Crystal Zhang,Peter Sheng,China,"Dec 13, 2015 - Jan 16, 2016",35,"Historical,  Comedy,  Romance,  Fantasy",,7.9,15,"Body Swap, Time Travel, Parody, Alternate Ending, Slapstick, Web Series, Married Couple, Sibling Rivalry, Adapted From A Novel, Transmigration",Go Princess Go,1663,3848
Jung Il Woo,Jin Se Yeon,South Korea,"Nov 14, 2015 - Jan 17, 2016",20,"Comedy,  Romance,  Drama","MBN, Naver TV Cast, Sohu TV",7.8,25,"Web Series, Entertainment Industry, Love At First Sight, Rich Man/Poor Woman, Arrogant Male Lead, Overbearing CEO, Self-centered Character, Possessive Male Lead, Eccentric Male Lead, Obsession",High-end Crush,6710,14519
Jiang Meng Jie,Liu Te,China,"May 21, 2020 - Jun 11, 2020",16,"Romance,  Drama",Sohu TV,7.9,14,"Boss/Employee Relationship, Older Woman/Younger Man, Divorced Female Lead, Office Romance, Age Gap, Rich Man/Poor Woman, Mother-Son Relationship, Divorce, Smart Male Lead, Workplace",My Dear Lady,1025,2793
Oguri Shun,Mizushima Hiro,Japan,"Oct 19, 2009 - Dec 21, 2009",10,"Action,  Suspense,  Comedy,  Detective",Fuji TV,7.8,18,"Eccentric Male Lead, Housemates, Police, Amnesia, Bromance",Tokyo DOGS,3810,7724
Benny Chan,Lam Chi Chung,China,"Dec 27, 2010 - Jan 25, 2011",42,"Comedy,  Martial Arts,  Fantasy",,8.5,0,,The Legend of Crazy Monk Season 1,50,102
Zhang Ruo Nan,Zhang Hao Wei,China,"Apr 25, 2020 - May 28, 2020",26,"Historical,  Comedy,  Romance,  Investigation",Youku,7.9,10,"Pretend Relationship, Hate To Love, Love–Hate Relationship, Bickering Couple, Funny Female Lead, Sassy Female Lead, Hate To Love Relationship, Crime Solving, Writer, Web Series",Love is All,438,1595
Abe Hiroshi,Kuroki Meisa,Japan,"Apr 18, 2010 - Jun 20, 2010",10,"Mystery,  Crime,  Detective,  Investigation",TBS,7.9,1,"Higashino Keigo, Adapted From A Novel, Shinzanmono Series",Shinzanmono,535,1194
De Xiu Chen,George Hu,Taiwan,"Feb 27, 2009 - Feb 26, 2010",53,"Comedy,  Wuxia,  School,  Fantasy",FTV,7.9,4,,K.O.3an Guo,355,928
Tavia Yeung,Kenneth Ma,Hong Kong,"Nov  4, 2013 - Dec 13, 2013",30,"Romance,  Medical",TVB Jade ,7.9,0,,The Hippocratic Crush II,284,585
Hou Pei Shan,Anson Qiu,China,"Jan 11, 2018 - Feb  1, 2018",20,"Romance,  Youth,  Drama,  Family",Tencent Video,7.8,1,Rich Man/Poor Woman,"Dragon Day, You're Dead: Season 2",779,1845
Lee Dong Wook,Lee Da Hae,South Korea,"Apr  5, 2014 - Jul 27, 2014",32,"Business,  Romance,  Drama,  Melodrama",MBC,7.8,24,"Hotel, Revenge, Enemies To Lovers, Orphan, Murder, Birth Secret, Heiress, Inheritance Theft, Possessive Male Lead, Adoption",Hotel King,5548,14263
Song Jae Rim,Hwang Seung Eon,South Korea,"Feb 20, 2016 - Apr 24, 2016",20,"Romance,  School,  Youth,  Sports",MBN,7.8,9,"Hardworking Male Lead, Volleyball, Miniseries, Older Woman/Younger Man, High School, Competition, Sports Injury, Love Confession, Nice Female Lead, Hardworking Female Lead",Thumping Spike,3670,8779
Shida Mirai,Yamada Yu,Japan,"Jul  9, 2008 - Sep 10, 2008",10,"Comedy,  Romance,  Family",NTV,7.8,4,"Office Worker, Sisterhood, High School, Misunderstanding, Sibling, Adapted From A Manga",Seigi no Mikata,1987,3368
Lee Yoon Ji,Jo Yeon Ho,South Korea,"Nov 21, 2016 - May 12, 2017",118,"Romance,  Family",MBC,8.0,4,"Single Parent, Mother-Son Relationship, Older Woman/Younger Man, Actor, Adopted Child, Age Gap, Celebrity, Unrequited Love, Marriage",Person Who Gives Happiness,196,876
Kang Tae Oh,Yeo Hoe Hyun,South Korea,"Feb 12, 2018 - Feb 20, 2018",4,"Friendship,  Comedy,  Romance,  Life,  Sports","OCN, Viki",7.8,1,"Winter Sport, University, Short Track Speed Skating, Miniseries, Student, College Life, Inspired By Real Person, Bromance, Competition",Short,514,1402
Takeda Tetsuya,Ueto Aya,Japan,"Oct 11, 2001 - Mar 27, 2002",23,"Friendship,  Life,  School,  Youth,  Drama,  Family,  Melodrama",TBS,8.4,0,"NEWS(Band), Teacher, Middle School, Idol Actor",3 nen B gumi Kinpachi Sensei 6,55,139
Lee Gi Kwang,Lee Da In,South Korea,"Jan  6, 2014 - Jan  7, 2014",4,"Romance,  Youth,  Drama",tvN,7.8,19,"Famous Lead/Common Lead, Miniseries, Hidden Relationship, Idol, Sweet Male Lead, Second Chance Romance, First Love, Love Confession, Break Up, Nice Female Lead",Twenty Years Old,5734,10357
Kamio Fuju,Onodera Akira,Japan,"Sep  2, 2019 - Oct  7, 2019",6,"Friendship,  Romance,  Life,  Drama",,8.0,1,"Job Seeking, Empathic Male Lead, Overcome Fears And Problems, Overcoming Struggles, Gay Relationship, LGBTQ+, Web Series, Coming Of Age, Gay Character, College Student",Shujin-ko,119,537
Kim Jae Won,Jo Yoon Hee,South Korea,"Jun 29, 2013 - Oct 27, 2013",36,"Suspense,  Romance,  Drama,  Melodrama",MBC,7.8,7,"Father-Son Relationship, Birth Secret, Kidnapping, Revenge",Scandal,874,2807
Ryu Hye Young,Kim Jae Young,South Korea,"Nov  6, 2018 - Jan 22, 2019",12,"Comedy,  Romance,  Life,  Youth,  Drama",O'live,7.9,2,"Self Employed Woman, Unemployed, Friends To Lovers, Slice Of Life, Living Alone, Adapted From A Manhwa, Adulthood, Siblings Relationship, Fluffy, Love Quadrangle",Eun Joo's Room,232,1641
Lee Min Ho,Son Ye Jin,South Korea,"Mar 31, 2010 - May 20, 2010",16,"Comedy,  Romance",MBC,7.7,67,"Cohabitation, Housemates, Naive Female Lead, Architecture, Pretends To Be Gay / Mistaken As Gay, Misunderstanding, Betrayal, Lying, Innocent Female Lead, Eccentric Female Lead",Personal Taste,29326,47304
Pon Thanapon Aiemkumchai,Bank Thanatip,Thailand,"Feb  8, 2020 - Feb 14, 2020",4,"Romance,  Drama",,7.8,9,"LGBTQ+, Gay Character, Bartender, Hotel, Nature, Miniseries, Web Series",The Moment,2088,3763
Horikita Maki,Owada Shinya,Japan,"Apr  2, 2012 - Sep 29, 2012",156,"Historical,  Life,  Medical",NHK,8.3,0,"Nikkan Daily Sports Drama GP, World War 2, Morning Drama, Asadora",Umechan Sensei,53,573
Enrique Gil,Liza Soberano,Philippines,"Oct 27, 2014 - May 22, 2015",148,"Food,  Business,  Comedy,  Romance,  Youth,  Family,  Melodrama",ABS-CBN,8.1,0,"Lovers Separated, Farm Life, Power Struggle, Family Relationship, Poor Female Lead, Male Chases Female First, Hate To Love, Obsessive Second Lead, Family Pressure, Misunderstanding",Forevermore,86,277
Kitamura Kazuki,Yokoyama Megumi,Japan,"Apr 19, 2015 - May 31, 2015",11,"Animals,  Historical,  Comedy",Fuji TV,8.1,0,Cat,Neko Zamurai 2,91,270
Jiro Wang,Sam Lin,Taiwan,"Dec 26, 2012 - Feb  5, 2013",30,"Action,  Friendship,  Historical,  Comedy,  Martial Arts,  Fantasy",GTV,7.8,2,Time Travel,KO One Return,348,1062
Han Ji Hye,Ha Seok Jin,South Korea,"Oct 25, 2014 - Mar  8, 2015",40,"Food,  Romance,  Drama,  Family",MBC,7.8,8,"Single Father, Widower, Hardworking Female Lead, Entrepreneur, Wrongfully Accused, Accident, Poor Female Lead, Corruption, Cohabitation, Prison",Legendary Witch,1008,2738
LAY,Cici Wang,China,"Feb 26, 2019 - Apr  1, 2019",56,"Adventure,  Romance,  Martial Arts,  Fantasy,  Supernatural","iQiyi, iQiyi",7.8,6,"Ancient Treasures, Historical Artifacts, Badass Female Lead, Special Power, Tomb Raiding, Fantasy World, Strong Female Lead, Tragic Past, Filmed Abroad, Desert Landscape",The Golden Eyes,577,2828
Sean Jindachot,Esther Supreeleela,Thailand,"Sep  7, 2016 - Dec 29, 2016",19,"Historical,  Romance,  Drama",GMM One,7.8,5,"Forced Kiss, Older Man/Younger Woman, Hate To Love, Age Gap, Adapted From A Novel",Ngao Asoke,373,929
Sawamura Ikki,Yokoyama Yu,Japan,"Jul  9, 2018 - Sep 10, 2018",10,"Mystery,  Detective,  Investigation",Fuji TV,8.0,2,"Kanjani 8, Forensics, Crime Solving, Police Officer, Undercover Agent, Police Procedural, Police",Zettai Reido 3,97,256
Miriam Yeung ,Pakho Chau,Hong Kong,"Nov 25, 2019 - Dec 27, 2019",25,"Romance,  Drama,  Family",TVB Jade ,8.1,1,"Ex-spouse Comes Back, Lovers Separated, Single Parent, Infidelity, Older Woman/Younger Man, Divorce, Cohabitation, Second Chance, Sismance, Multiple Couples",Wonder Women,75,165
Horikita Maki,Kaname Jun,Japan,"Apr 14, 2009 - Jun 23, 2009",11,"Comedy,  Family",Fuji TV,7.7,27,"Adoption, Acceptance, Stepmother, Older Man/Younger Man, Inventor, Slight Romance, Smart Female Lead, Reverse-Harem, Social Issues, Sibling Rivalry",Atashinchi no Danshi,9425,14736
Hayami Akari,Ichihara Hayato,Japan,"Oct 19, 2016 - Dec 28, 2016",12,"Food,  Comedy,  Romance,  Life,  Family",Amazon Prime,7.8,2,"Adapted From A Manga, Family Pressure, Family Relationship, Traditions, Lack Of Communication, Clumsy Female Lead, Sisterhood, Heiress, Misunderstanding, Personal Growth",Fukuyado Honpo - Kyoto Love Story,329,794
Tamura Masakazu,Nishimura Masahiko,Japan,"Jan 10, 1996 - Mar 13, 1996",10,"Suspense,  Mystery,  Investigation",Fuji TV,8.7,1,"SMAP, Idol Actor",Furuhata Ninzaburo Season 2,25,51
Kitano Kie,Yoshizawa Ryo,Japan,"Jul 15, 2017",3,"Action,  Historical,  Comedy,  Sci-Fi",dTV,7.8,4,"Feudal Japan, Miniseries, Web Series, Samurai, Adapted From A Manga, Alien",Gintama: Mitsuba hen,404,1171
Ueto Aya,Kiritani Kenta,Japan,"Jul 12, 2011 - Sep 20, 2011",11,"Mystery,  Crime,  Detective,  Investigation",Fuji TV,7.8,4,"Kanjani 8, Organized Crime, Crime Solving, Police Officer, Undercover Agent, Police Procedural, Police",Zettai Reido 2,297,653
Peng Duo Duo,Shao Wei Tong,China,"May  8, 2018 - Jul  5, 2018",12,"Romance,  Life,  Youth,  Drama",Youku,8.5,1,"Road Trip, Traveling, Terminal Illness, Based On True Story",Imagine Me Without You,37,366
Bambi Zhu,Leon Lai,China,"Apr 18, 2017",18,"Friendship,  Comedy,  Romance,  Youth",Youku,7.8,4,"Hardworking Female Lead, Arrogant Male Lead, Hate To Love, Roommates, Tsundere, Illness, Orphan, Sibling, Strong Female Lead, College Life",Hi Flower,298,1224
Ayase Haruka,Fujiki Naohito,Japan,"Jul 11, 2007 - Sep 12, 2007",10,"Business,  Comedy,  Romance",NTV,7.7,16,"Eccentric Female Lead, Older Man/Younger Woman, Secret Relationship, Cohabitation, Calm Male Lead, Boss/Employee Relationship, Obsession, Nice Male Lead, Hidden Relationship, Adapted From A Manga",Hotaru no Hikari,6235,11622
Vincent Wong,Matt Yeung,Hong Kong,"Nov 12, 2018 - Dec 21, 2018",30,"Action,  Suspense,  Thriller",TVB Jade ,8.0,0,Bromance,Fist Fight,79,189
Lego Lee,Allison Lin,Taiwan,"Aug  7, 2015 - Jan  1, 2016",22,"Food,  Romance,  Drama",SET TV,7.7,5,"Multiple Couples, Love Triangle",Love Cuisine,850,2095
Zuny,Lee Jae Jin,South Korea,"Jan 29, 2018 - Jan 31, 2018",4,"Food,  Friendship,  Music,  Comedy,  Romance,  Life","Naver TV Cast, MBC every1",7.7,1,"Cohabitation, Cross-Dressing, Web Series, Former Idol, Chef, Hate To Love",4 Kinds of House,336,1052
Inoue Masahiro,Akutsu Shintaro,Japan,"Jul 28, 2012 - Sep 22, 2012",9,"Suspense,  Friendship,  Mystery,  Crime,  Drama,  Investigation",TV Asahi,7.7,3,"Dependent Character, Extreme Friendship, Hikikomori, Tragic Past, Bromance",Aozora no Tamago,369,1065
Wu Jia Yi,Zhao Yi Qin,China,"Jul  8, 2020 - Aug 12, 2020",25,"Suspense,  Historical,  Romance,  Drama,  Political","Mango TV, Mango TV",8.1,1,"Qing Dynasty, Death Of Mother, Search For The Truth, Past Mystery, Evil Secondary Character, Quiet Secondary Female, Talented Chef, Talented Character, Talented Lead, Handsome Main Lead",Love Story of Court Enemies,66,722
Fair Xing,Garvey Jin,China,"Mar 23, 2020 - Apr 27, 2020",38,"Friendship,  Comedy,  Romance,  Life,  Drama","Tencent Video, Mango TV, Mango TV",7.7,22,"Amnesia, Fiancée, Height Difference, Hardworking Female Lead, Accident, Seaside, Remake, Rich Male Lead, Fateful Encounter, Personality Change",Forget You Remember Love,818,3381
Guide Jirapirom Chaiya,Cooper Patpasit Na Songkhla,Thailand,"Dec 11, 2016 - Feb 26, 2017",12,,Channel 9,7.7,22,"Gay Relationship, Gay Character, Bromance, Aggressive Male Lead, Time Skip, Spoiled Male Lead, LGBTQ+, Infidelity, Mother-Son Relationship, Father-Son Relationship",My Bromance,1596,4285
Uchida Rio,Shirasu Jin,Japan,"Apr  4, 2019 - Jun  6, 2019",10,"Life,  Drama,  Family","NTV, YTV",7.9,1,,My Family Goes Viral,96,317
Lyan Su,Jiro Wang,Taiwan,"May 12, 2013 - Aug  4, 2013",13,"Music,  Comedy,  Romance,  Drama",FTV,7.6,20,"Reverse-Harem, Remake, Band, Hidden Identity, Twins, Idol, Cross-Dressing, Love Triangle",Fabulous Boys,3546,8212
Nakagawa Taishi,Yamamoto Maika,Japan,"Nov  9, 2015 - Feb  1, 2016",10,"Comedy,  Romance,  School,  Youth,  Fantasy",Fuji TV,7.6,16,"High School, Childhood Friends, Cohabitation, Fluffy, Abandonment Issues, Absent Father, Abandoning Family, Cold Male Lead, First Love, Adapted From A Manga",Minami-kun no Koibito: My Little Lover,4206,7938
Choi Jin Hyuk,Park Sung Woong,South Korea,"Mar 28, 2020 - May 17, 2020",16,"Action,  Thriller,  Crime,  Drama,  Sci-Fi","OCN, Netflix, Netflix, Netflix, Netflix",7.6,19,"Power Struggle, Human Experimentation, Hot-tempered Male Lead, Adapted From A Webtoon, Biotechnology, Skilled Killer, Teamwork, Revenge, Strong Male Lead, Wrongfully Accused",Rugal,2055,6913
Rainie Yang,Lee Wei,Taiwan,"Nov  1, 2009 - Jan 31, 2010",23,"Comedy,  Romance",CTS,7.6,22,"Personality Change, Nice Second Lead, Passionate Kiss, Brother-Sister Relationship, College To Working Life, Tough Female Lead, Childish Male Lead, Socially Awkward Protagonist, Forced Break-up, Naive Male Lead",Hi My Sweetheart,5335,9260
Suzuki Honami,Oda Yuji,Japan,"Jan  7, 1991 - Mar 18, 1991",11,Romance,Fuji TV,7.7,3,"Fumi Saimon, Office Romance, Eccentric Female Lead, Slice Of Life, Adapted From A Manga",Tokyo Love Story,213,505
Matsushita Nao,Kimura Yoshino,Japan,"Jan  9, 2020 - Mar 12, 2020",11,"Drama,  Family,  Medical",Fuji TV,8.0,0,"Medical Oncologist, Mistake, Accident, Strong Female Lead, Cancer, Friendship",Alive - Gan Senmoni no Karte,57,173
Min Do Hee,Jang Young Nam,South Korea,"Jul 29, 2019 - Sep 16, 2019",15,"School,  Youth,  Drama,  Family","jTBC, vLive",7.7,4,"High School To College, Mother-Daughter Relationship, Stubborn Character, Slight Romance, Single Parent, Student, Secret Crush, High School, Web Series, Friendship",IN-SEOUL,342,965
Lee Thanat Lowkhunsombat,Mook Worranit Thawornwong,Thailand,"Sep 10, 2017 - Dec 17, 2017",10,"Comedy,  Romance,  Youth,  Drama",GMM 25,7.6,3,"Motorcycle Racing, Parents Disapproval, Fight, Rich Female Lead, Love At First Sight, Debt, Street Fight, Male Chases Female First, Love Square, Lesbian Character",My Dear Loser: Monster Romance,652,2322
Moritsugu Kohji,Hishimi Yuriko,Japan,"Oct  1, 1967 - Sep  8, 1968",49,"Action,  Tokusatsu,  Sci-Fi",TBS,8.2,1,,Ultraseven,49,163
Bow Maylada Susri,New Wongsakorn Paramatthakorn,Thailand,"Mar 24, 2018 - Apr 27, 2018",15,,Channel 7,7.8,1,"Older Man/Younger Woman, Tomboy, Age Gap, Adapted From A Novel",Sa Kao Duen,119,288
Ichikawa Somegoro,Takimoto Miori,Japan,"May 23, 2014 - Jun 20, 2014",5,"Historical,  Romance,  Drama",NHK,8.1,0,,Tsuma wa Kunoichi - Saishusho,42,134
Kim Sang Joong,Kim Tae Woo,South Korea,"Feb 14, 2015 - Aug  2, 2015",50,"Historical,  Drama,  Political",KBS1,8.2,2,"Gwanghaegun Of Joseon, Joseon Dynasty",The Jingbirok: A Memoir of Imjin War,43,399
Amami Yuki,Tanaka Tetsushi,Japan,"Apr 11, 2019 - Jun 20, 2019",10,"Mystery,  Drama,  Detective,  Investigation",TV Asahi,8.0,0,,Kinkyu Torishirabeshitsu 3,57,150
Cao Neil,Jennifer Shu,China,"Oct  4, 2005 - Oct 16, 2005",35,"Action,  Adventure,  Romance,  Martial Arts,  Fantasy",CCTV,7.9,0,"Interspecies Romance, Scholar, God, Tragedy",Lotus Lantern,79,202
Wang Yan Bin,Li Jun Yao,China,"Mar 20, 2019",12,"Friendship,  Comedy,  Romance,  School,  Youth,  Family,  Fantasy","iQiyi, iQiyi",7.6,4,"Gender Swap, Miniseries, Interspecies Romance, Mermaid, Web Series, Cross-Dressing, Idol Actor",The Rules of Love,619,1791
Stephy Qi,Wei Da Xun,China,"Apr 10, 2018 - May  5, 2018",20,"Friendship,  Romance,  Life,  Drama,  Melodrama",,8.3,0,"Overcome Hardships, Life Struggle",Women in Beijing,27,277
Gu Hye Seon,Jo Jung Rin,South Korea,"Oct  4, 2004 - Oct 21, 2005",257,"Friendship,  Comedy,  Romance,  Youth,  Drama,  Sitcom",MBC,7.9,0,,Nonstop 5,69,470
Mook Worranit Thawornwong,Smart Krissada Pornweroj,Thailand,"Jan 14, 2019 - Mar 26, 2019",22,"Romance,  Drama",GMM 25,8.3,1,"Abusive Relationship, Older Man/Younger Woman, Infidelity, Rape, Age Gap, Adapted From A Novel",Mia Noi,31,176
Jiro Wang,Pauline Lan,Taiwan,"Aug  8, 2007 - Oct 23, 2007",55,"Action,  Friendship,  Comedy,  Youth,  Fantasy",GTV,7.6,2,,The X-Family,566,1347
Yamada Ryosuke,Suzuki Kyoka,Japan,"Jan 14, 2012 - Mar 24, 2012",10,"Comedy,  Youth,  Drama,  Family",NTV,7.6,4,"Kis-My-Ft2, Hey! Say! Jump, Animation, Delinquent, Single Parent, Mother-Son Relationship, High School, Gang, Idol Actor",Risou no Musuko,1266,2869
Han Ji Eun,Kim Jae Young,South Korea,"Apr  8, 2016 - May 20, 2016",10,"Comedy,  Romance,  School,  Youth",On Style,7.6,2,"Heir, Miniseries, Beauty And Makeup, Web Series, Fashion, Advertisement, Innocent Female Lead",beautiology101,918,2051
Miura Haruma,Yoshine Kyoko,Japan,"Jul 16, 2019 - Sep 17, 2019",10,"Action,  Suspense,  Thriller,  Drama,  Family,  Investigation","Fuji TV, KTV",7.8,1,"Wrongfully Accused, Strong Male Lead, Crime Solving, Police Officer, Prosecutor, Single Parent, Conspiracy, Father-Daughter Relationship, Gang, Child",TWO WEEKS,92,689
Yoshioka Hidetaka,Shibasaki Ko,Japan,"Oct 12, 2006 - Dec 21, 2006",11,"Drama,  Medical",Fuji TV,7.9,1,Adapted From A Manga,Dr. Koto Shinryojo 2006,67,136
Toyokawa Etsushi,Natsukawa Yui,Japan,"Oct 10, 1997 - Dec 19, 1997",11,"Romance,  Life",TBS,7.8,2,Infidelity,Aoi Tori,102,312
Chi Shuai,Choo Ja Hyun,China,"Feb 21, 2011 - Mar 31, 2011",68,,,8.3,0,"Attempted Sexual Assault, Revenge Love, Revenge, Cheating, Double Identity, Romance",The Temptation to Go Home,25,69
Yamada Takayuki,Ishihara Satomi,Japan,"Jan 13, 2005 - Mar 30, 2005",11,"Comedy,  Romance,  Sports",TBS,7.6,5,"High School, Baseball, Adapted From A Manga",H2,640,1326
